RootName,SBE_Utterance_Analysis,AAVE_Utterance_Analysis,AAVE_Utterance_BML,AAVE_Utterance_Phonetics,SBE_wav_name,SBE_wav,AAVE_wav_name,AAVE_wav,NeutralDistinct,AAVEFeatures,Phono,Gesture_Empty,TaskIntro,Monologue,MonologueNumber,Gesture,args,aae_args,Feedback: test,AT: test,Social: test,Task Intro: test,Presentation Mode: test,Science Monologue: test,Social Talk: test,Accountable Talk: test,On-task Sentences: test,Dialect Use: test
CD34,I don't think he can run very fast because his legs are so short,I don't think he can run very fast cuz� his legs too short,I don't fink he can run very fast cuz his legs too short,I don't fink he can run very fas' cuz... his legs too short,CD34-s.wav,,CD34-v.wav,x,,copula,TD,,,,,CD34v,"start=""sp1:start"" end=""sp1:start+4.5""/><face type='FACS' au='45' amount='.3' stroke='sp1:start+.2' end='sp1:start+2.5'/><face type='FACS' au='4' amount='.3' stroke='sp1:start+.2' end='sp1:start+2.5'/><face type='FACS' au='2' amount='.2' stroke='sp1:start+3.8' end='sp1:start+4.3'",/><face type='FACS' au='45' amount='.3' stroke='sp1:start+.2' end='sp1:start+2.5'/><face type='FACS' au='4' amount='.3' stroke='sp1:start+.2' end='sp1:start+2.5'/><face type='FACS' au='2' amount='.2' stroke='sp1:start+3.9' end='sp1:start+4.5',,,,,,,,,,
CD35,I don't think he looks fast enough to hunt the bunnies,I don't think he look fast enough to hunt the bunnies,I don't fink he look fast enough to hunt the bunnies,I don't fink he look fas' enough to hunt de bunnies,CD35-s.wav,,CD35-v.wav,SF,,verbalS,,,,,,CD35v,"start=""sp1:start"" end=""sp1:start+2.8""/><face type='FACS' au='45' amount='.3' stroke='sp1:start+.2' end='sp1:start+1'/><face type='FACS' au='4' amount='.3' stroke='sp1:start+.2' end='sp1:start+1'",/><face type='FACS' au='45' amount='.3' stroke='sp1:start+.2' end='sp1:start+1'/><face type='FACS' au='4' amount='.3' stroke='sp1:start+.2' end='sp1:start+1',,,,,,,,,,
CD36,"I don't think he looks like a good swimmer because he doesn't have any fins or, um, gills or anything","I don't think he look like a good swimmer cuz he ain't got no fins or, um, gills or nothing",I don't fink he look like a good swimmer cuz he ain't got no fins or um gills or nothing,"I don't fink he look like a good swimmer cuz he ain't got no fins or, um, gills or nuffin'",CD36-s.wav,,CD36-v.wav,SF,,verbalS; ain't; got; doubleNeg; doubleNeg,cuz,,,,,CD36v,"start=""sp1:start"" end=""sp1:start+8.5""/><face type='FACS' au='2' amount='.3' stroke='sp1:start+4.4' end='sp1:start+5.3'/><face type='FACS' au='4' amount='.5' stroke='sp1:start+7' end='sp1:start+8'/><face type='FACS' au='45' amount='1' stroke='sp1:start+7' end='sp1:start+8'","start=""sp1:start"" end=""sp1:start+6.8""/><face type='FACS' au='45' amount='1' stroke='sp1:start+5.9' end='sp1:start+6.9'/><face type='FACS' au='4' amount='.3' stroke='sp1:start+5.9' end='sp1:start+6.9'/><face type='FACS' au='2' amount='.3' stroke='sp1:start+3' end='sp1:start+3.9'",,,,,,,,,,
CD37,I don't think he looks like a meat-eater because he doesn't have any sharp claws or anything,I don't think he look like a meat-eater cuz he ain't got no sharp claws or nothing,I don't fink he look like a meat-eater cuz he ain't got no sharp claws or nothing,I don't fink he look like a meat-eater cuz he ain't got no sharp claws or nuffin,CD37-s.wav,,CD37-v.wav,x,,verbalS; ain't; doubleNeg; doubleNeg,,,,,,Alex_They_dont_really_look_like_meat_eaters_to_me,"start=""sp1:start"" end=""sp1:start+2.3""/><animation name=""Alex_They_like_dont_have_any_sharp_teeth_or_claws_or_anything"" start=""sp1:start+2.3"" end=""sp1:start+6""","start=""sp1:start"" end=""sp1:start+2.2""/><animation name=""Alex_They_like_dont_have_any_sharp_teeth_or_claws_or_anything"" start=""sp1:start+2.5"" end=""sp1:start+4.6""",,,,,,,,,,
CD38,I don't think he looks pointy enough to attack really big animals,I don't think he uh sharp enough to attack real big animals,I don't fink he uh sharp enough to attack real big animals,I don't fink he uh sharp enough to attack real big animals,CD38-s.wav,,CD38-v.wav,x,,verbalS; plural,,,,,,CD38v,"start=""sp1:start"" end=""sp1:start+6.2""",,,,,,,,,,,
CD39,I think he probly uses his neck to stick his head into holes and look for food,I think he probably use his neck to stick his head into holes and look for food,I fink he prolly use his neck to stick his head into holes and look for food,I fink he prolly use his neck to stick his head into holes and look for food,CD39-s.wav,,CD39-v.wav,x,,verbalS,prolly,,,,,Alex_They_can_probably_use_their_necks_to_stick_their_heads_into_holes_and_look_for_food,"start=""sp1:start"" end=""sp1:start+6.3""",,,,,,,,,,,
CD40,I think he could also climb up into the trees so he could reach like other fruit that grows there,I think he could also climb up into the trees so he could reach like... other fruit that grow there,I fink he could also climb up into the trees so he could reach like other fruit that grow there,I fink he could also climb up into de trees so he could reach like... other fruit dat grow dere,CD40-s.wav,,CD40-v.wav,x,,verbalS,,,,,,CD40v,"start=""sp1:start"" end=""sp1:start+7.1""",,,,,,,,,,,
CD41,"I think he probly doesn't eat bunnies because he doesn't, I don't think he looks like a meat eater","I think he probably don't eat bunnies cuz he don't, I don't think he look like no meat eater",I fink he prolly don't eat bunnies cuz he don't I don't fink he look like no meat eater,"I fink he prolly don't eat bunnies cuz he don't, I don't fink he look like no meat eater",CD41-s.wav,,Alex_Maybe_they_can_eat_bunnies_but_actually_um_probably_not,x,,,,,,,,Alex_Maybe_they_can_eat_bunnies_but_actually_um_probably_not,"start=""sp1:start"" end=""sp1:start+7.3""/><face type='FACS' au='4' amount='.4' stroke='sp1:start+4.3' end='sp1:start+5.3'/><face type='FACS' au='45' amount='1' stroke='sp1:start+4.3' end='sp1:start+5.3'","start=""sp1:start"" end=""sp1:start+5.8""/><face type='FACS' au='4' amount='.4' stroke='sp1:start+3.3' end='sp1:start+4.1'/><face type='FACS' au='45' amount='1' stroke='sp1:start+3.3' end='sp1:start+4.1'",,,,,,,,,,
CD42,I think he probably mostly eats plants because he looks like he has good fingers for picking things up,I think he probably mostly eat plant... cuz he look like he gots good fingers for picking up things,I fink he prolly mostly eat plant cuz he look like he gots good fingers for picking up fings,I fink he prolly mos'ly eat plant... cuz he look like he gots good fingers for pickin' up fings,CD42-s.wav,,CD42-v.wav,x,,verbalS; plural; gots,cuz; NG,,,,,CD42v,"start=""sp1:start"" end=""sp1:start+6.73""",,,,,,,,,,,
CD43,"I think the palm of his hand it helps him to like walk better, like to grab on to things tighter","I think the palm of his hand it help him like walk more better, like to grab on to things more tighter",I fink the palm of his hand it help him like walk more better like to grab on to things more tighter,"I fink de palm of his hand it help him like walk more better, like to grab on to fings more tighter",CD43-s.wav,,CD43-v.wav,x,,verbalS; doubleComp; doubleComp,,,,,,Alex_I_think_the_palm_of_their_hand_it_helps_them,"start=""sp1:start"" end=""sp1:start+7.7""/><face type='FACS' au='2' amount='.3' stroke='sp1:start+6.4' end='sp1:start+7'","start=""sp1:start"" end=""sp1:start+8.3""/><face type='FACS' au='2' amount='.3' stroke='sp1:start+7.1' end='sp1:start+7.8'",,,,,,,,,,
CD44,"I think with cats, that stripe helps them see at night.","I think with cats, the stripe help them see at night",I fink with cats the stripe help them see at night,"I fink wif cats, de stripe help dem see at night",CD44-s.wav,,CD44-v.wav,x,,verbalS,TH,,,,,CD44v,"start=""sp1:start"" end=""sp1:start+4.78""/><face type='FACS' au='4' amount='.3' stroke='sp1:start+0' end='sp1:start+1.5'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+0' end='sp1:start+1.5'",/><face type='FACS' au='4' amount='.3' stroke='sp1:start+0' end='sp1:start+1.5'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+0' end='sp1:start+1.5',,,,,,,,,,
CD45,"I wonder how he finds the worms, like if the worms are underground","I wonder how do he find the worms, like if the worms be underground",I wonder how do he find the worms like if the worms be underground,"I wonder how do he find de worms, like if de worms be undergroun'",CD45-s.wav,,CD45-v.wav,x,,verbalS; be,TD,,,,,Alex_I_wonder_how_they_can_like_find_the_worms_like_if_the_worms_are_underground,"start=""sp1:start"" end=""sp1:start+6.25""/><face type='FACS' au='4' amount='.3' stroke='sp1:start+0' end='sp1:start+2.5'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+0' end='sp1:start+2.5'/><face type='FACS' au='2' amount='.25' stroke='sp1:start+4.5' end='sp1:start+5.7'","start=""sp1:start"" end=""sp1:start+6.1""/><face type='FACS' au='4' amount='.3' stroke='sp1:start+0' end='sp1:start+3'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+0' end='sp1:start+3'/><face type='FACS' au='2' amount='.25' stroke='sp1:start+4.5' end='sp1:start+5.7'",,,,,,,,,,
CD46,I wonder how he gets away from predators,I wonder how do he get away from predator,I wonder how do he get away from predator,I wonder how do he get away from predator,CD46-s.wav,,CD46-v.wav,x,,question; verbal-do; plural,,,,,,Alex_I_wonder_how_they_could_get_away_from_predators,"start=""sp1:start"" end=""sp1:start+2.6""/><face type='FACS' au='4' amount='.8' stroke='sp1:start+.2' end='sp1:start+1.6'/><face type='FACS' au='45' amount='.2' stroke='sp1:start+.2' end='sp1:start+1'","start=""sp1:start"" end=""sp1:start+2.7""/><face type='FACS' au='4' amount='.8' stroke='sp1:start+.15' end='sp1:start+1.8'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+.15' end='sp1:start+1'",,,,,,,,,,
CD47,I wonder how he drinks if there's no water around,I wonder how do he drink if it ain't no water around,I wonder how do he drink if it ain't no water around,I wonder how do he drink if it ain't no water around,CD47-s.wav,,CD47-v.wav,x,,question; verbal-do; exIT; ain't; doubleNeg,TD,,,,,Alex_I_wonder_how_they_drink_if_theres_no_water_around,"start=""sp1:start"" end=""sp1:start+4""/><face type='FACS' au='45' amount='.2' stroke='sp1:start+.2' end='sp1:start+1'/><face type='FACS' au='45' amount='1' stroke='sp1:start+2.3' end='sp1:start+3.2'/><face type='FACS' au='4' amount='.8' stroke='sp1:start+2.3' end='sp1:start+3.2'","start=""sp1:start"" end=""sp1:start+4.3""/><face type='FACS' au='4' amount='.8' stroke='sp1:start+2.0' end='sp1:start+3'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+.15' end='sp1:start+1'/><face type='FACS' au='45' amount='1' stroke='sp1:start+2.0' end='sp1:start+3'",,,,,,,,,,
CD48,I wonder if he can go into the trees to grab more worms,I wonder can he go into the trees? To grab more worm?,I wonder can he go into the trees to grab more worm,I wonder can he go into the trees to grab more worm,CD48-s.wav,,CD48-v.wav,x,,question; do; plural,,,,,,Alex_I_wonder_if_they_can_like_go_into_the_trees_to_grab_more_worms,"start=""sp1:start"" end=""sp1:start+3.8""/><face type='FACS' au='2' amount='.45' stroke='sp1:start+1.6' end='sp1:start+2.4'","start=""sp1:start"" end=""sp1:start+5""/><face type='FACS' au='2' amount='.45' stroke='sp1:start+2' end='sp1:start+2.9'",,,,,,,,,,
CD49,I wonder if he hunts better like alone or in a group,I wonder do he hunt better like alone... or in a group?,I wonder do he hunt better like alone or in a group,I wonder do he hunt better like alone... or in a group?,CD49-s.wav,,CD49-v.wav,x,,question; do,,,,,,Alex_I_wonder_if_they_hunt_better_like_alone_or_as_a_group,"start=""sp1:start"" end=""sp1:start+4.1""/><face type='FACS' au='4' amount='.3' stroke='sp1:start+0' end='sp1:start+1.4'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+0' end='sp1:start+1.4'/><face type='FACS' au='2' amount='.3' stroke='sp1:start+1.85' end='sp1:start+2.8'","start=""sp1:start"" end=""sp1:start+4.75""/><face type='FACS' au='4' amount='.3' stroke='sp1:start+0' end='sp1:start+1.4'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+0' end='sp1:start+1.4'/><face type='FACS' au='2' amount='.3' stroke='sp1:start+1.85' end='sp1:start+2.8'",,,,,,,,,,
CD50,I wonder if he like runs to be able to chase things faster,I wonder... do he like � run to be able to chase thing more faster?,I wonder do he like run to be able to chase thing more faster,I wonder... do he like � run to be able to chase thing more faster?,CD50-s.wav,,CD50-v.wav,x,,question; do; plural; doubleComp,,,,,,CD50v,"start=""sp1:start"" end=""sp1:start+5.9""/><face type='FACS' au='4' amount='.3' stroke='sp1:start+0' end='sp1:start+1.9'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+0' end='sp1:start+1.9'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+4.95' end='sp1:start+5.8'/><face type='FACS' au='2' amount='.3' stroke='sp1:start+3.1' end='sp1:start+4.9'",/><face type='FACS' au='4' amount='.3' stroke='sp1:start+0' end='sp1:start+3'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+0' end='sp1:start+3'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+4.6' end='sp1:start+5.5'/><face type='FACS' au='2' amount='.3' stroke='sp1:start+3.1' end='sp1:start+4.4',,,,,,,,,,
CD51,I wonder if the spikes on his back are used to like hear or smell predators or anything like that,I wonder do the spike on his back be used to like... hear... or smell predators or anything like that?,I wonder do the spike on his back be used to like hear or smell predators or anything like dat?,I wonder do de spike on his back be used to like... Hear... or smell predators or anyfing like dat?,CD51-s.wav,,CD51-v.wav,x,,question; do; plural; be; plural,,,,,,Alex_I_wonder_if_the_spikes_on_their_back_are_used_to_like_hear_or_smell_predators,"start=""sp1:start"" stroke=""sp1:start+2.8"" end=""sp1:start+7.2""/><face type='FACS' au='45' amount='.3' stroke='sp1:start+2.9' end='sp1:start+3.9' /><face type='FACS' au='45' amount='.3' stroke='sp1:start+4.6' end='sp1:start+5.2' /><face type='FACS' au='4' amount='.3' stroke='sp1:start+2.9' end='sp1:start+3.9' /><face type='FACS' au='4' amount='.3' stroke='sp1:start+4.6' end='sp1:start+5.2' /><face type='FACS' au='2' amount='.3' stroke='sp1:start+5.3' end='sp1:start+5.7' ","start=""sp1:start"" end=""sp1:start+7.35""/><face type='FACS' au='45' amount='.3' stroke='sp1:start+3.3' end='sp1:start+3.9' /><face type='FACS' au='45' amount='.3' stroke='sp1:start+4.6' end='sp1:start+5.2' /><face type='FACS' au='4' amount='.3' stroke='sp1:start+3.3' end='sp1:start+3.9' /><face type='FACS' au='4' amount='.3' stroke='sp1:start+4.6' end='sp1:start+5.2' /><face type='FACS' au='2' amount='.3' stroke='sp1:start+6.1' end='sp1:start+6.9' ",,,,,,,,,,
CD52,"If he eats meat, he can probably only eat like really slow animals","If he eat meat, he can probably only eat like real slow animal",If he eat meat he kin prolly only eat like real slow animal,"If he eat meat, he kin prolly only eat like real slow animal",CD52-s.wav,,CD52-v.wav,x,,verbal; real; plural,kin; prolly,,,,,CD52v,"start=""sp1:start"" end=""sp1:start+6.5""",,,,,,,,,,,
CD53,"If he were in a group, he'd probably be even safer from predators","If he was in a group, he be even more safer from predators",If he was in a group he be even more safer from predators,"If he was in a group, he be even more safer from predators",CD53-s.wav,,CD53-v.wav,x,,was; be; doubleComp; plural,,,,,,Alex_In_a_group_they_are_safe_from_predators,"start=""sp1:start"" end=""sp1:start+5.4""/><face type='FACS' au='4' amount='.5' stroke='sp1:start+0.1' end='sp1:start+2'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+0.1' end='sp1:start+2'/><face type='FACS' au='2' amount='.3' stroke='sp1:start+3.5' end='sp1:start+4.2'","start=""sp1:start"" end=""sp1:start+4.75""/><face type='FACS' au='4' amount='.5' stroke='sp1:start+0.1' end='sp1:start+2'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+0.1' end='sp1:start+2'/><face type='FACS' au='2' amount='.3' stroke='sp1:start+3.5' end='sp1:start+4.2'",,,,,,,,,,
CD54,If predators started chasing him maybe he could get away by,If predators start chasing him maybe he can get away by�,If predators start chasing him maybe he can get away by,If predators start chasin' him maybe he kin get away by�,CD54-s.wav,,CD54-v.wav,x,n,,,,,,,Alex_If_predators_started_chasing_them_maybe_they_could_get_away_by,"start=""sp1:start"" end=""sp1:start+7""/><face type='FACS' au='45' amount='.45' stroke='sp1:start+3.5' end='sp1:start+6.9'/><face type='FACS' au='4' amount='.5' stroke='sp1:start+3.5' end='sp1:start+6.9'/><face type='FACS' au='2' amount='.3' stroke='sp1:start+.2' end='sp1:start+1.5'","start=""sp1:start"" end=""sp1:start+6.3""/><face type='FACS' au='45' amount='.45' stroke='sp1:start+3.8' end='sp1:start+6.5'/><face type='FACS' au='4' amount='.5' stroke='sp1:start+3.8' end='sp1:start+6.5'/><face type='FACS' au='2' amount='.3' stroke='sp1:start+.1' end='sp1:start+1.8'",,,,,,,,,,
CD55,"If he used all four feet to walk like a tiger, I think he could probly run faster","If he use all four feet to walk like a tiger, I think he could probbaly run faster",If he use all four feet to walk like a tiger I think he could prolly run faster,"If he use all four feet to walk like a tiger, I fink he could prolly run fas'er",CD55-s.wav,,CD55-v.wav,x,n,,,,,,,Alex_If_they_used_all_four_feet_to_walk_like_a_tiger_maybe_they_could_run_faster,"start=""sp1:start"" end=""sp1:start+6.9""/><face type='FACS' au='2' amount='.2' stroke='sp1:start+5.6' end='sp1:start+6.1'","start=""sp1:start"" end=""sp1:start+7.1""/><face type='FACS' au='2' amount='.3' stroke='sp1:start+6.1' end='sp1:start+6.6'",,,,,,,,,,
CD56,"In the dark, he could probly be sneaky","In the dark, he could probably be sneaky",In the dark he could prolly be sneaky,"In the dark, he could prolly be sneaky",CD56-s.wav,,CD56-v.wav,x,n,,,,,,,Alex_In_the_dark_maybe_they_could_be_sneaky,"start=""sp1:start"" end=""sp1:start+4""/><face type='FACS' au='45' amount='.4' stroke='sp1:start+2.7' end='sp1:start+3.5'/><face type='FACS' au='4' amount='.3' stroke='sp1:start+2.7' end='sp1:start+3.5'","start=""sp1:start"" end=""sp1:start+3.4""/><face type='FACS' au='45' amount='.4' stroke='sp1:start+2.4' end='sp1:start+3.2'/><face type='FACS' au='4' amount='.3' stroke='sp1:start+2.4' end='sp1:start+3.2'",,,,,,,,,,
CD57,It looks like maybe he also eats,It looks like maybe he also eat�,It looks like maybe he also eat,It looks like maybe he also eat�,CD57-s.wav,,CD57-v.wav,x,d,,,,,,,CD57v,"start=""sp1:start"" end=""sp1:start+5.4""/><face type='FACS' au='45' amount='.3' stroke='sp1:start+2.4' end='sp1:start+5'/><face type='FACS' au='4' amount='.3' stroke='sp1:start+2.4' end='sp1:start+5'",/><face type='FACS' au='45' amount='.35' stroke='sp1:start+2.5' end='sp1:start+5.5'/><face type='FACS' au='4' amount='.3' stroke='sp1:start+2.5' end='sp1:start+5.5',,,,,,,,,,
CD58,Maybe he can climb up the tree and sleep in the branches,Maybe he can climb up the tree and sleep in the branches,Maybe he kin climb up the tree and sleep in the branches,Maybe he kin climb up de tree and sleep in de branches,CD58-s.wav,,CD58-v.wav,x,n,,,,,,,Alex_Maybe_they_can_climb_up_the_tree_and_sleep_in_the_branches,"start=""sp1:start"" end=""sp1:start+4.7""/><face type='FACS' au='45' amount='0.3' stroke='sp1:start+.7' end='sp1:start+1.75'/><face type='FACS' au='4' amount='0.2' stroke='sp1:start+.7' end='sp1:start+1.75'/><face type='FACS' au='2' amount='0.4' stroke='sp1:start+3' end='sp1:start+4'","start=""sp1:start"" end=""sp1:start+3.8""/><face type='FACS' au='45' amount='0.3' stroke='sp1:start+.7' end='sp1:start+1.75'/><face type='FACS' au='4' amount='0.2' stroke='sp1:start+.7' end='sp1:start+1.75'/><face type='FACS' au='2' amount='0.4' stroke='sp1:start+1.8' end='sp1:start+3.6'",,,,,,,,,,
CD59,Maybe he can eat bunnies ,Maybe he can eat... bunnies?,Maybe he kin eat bunnies,Maybe he kin eat... bunnies?,CD59-s.wav,,CD59-v.wav,x,n,,,,,,,CD59v,"start=""sp1:start"" end=""sp1:start+3.0""",,,,,,,,,,,
CD60,Maybe he can feel vibrations with his spikes like whiskers,Maybe he can feel vibrations with his spikes... like whiskers,Maybe he can feel vibrations with his spikes like whiskers,Maybe he can feel vibrations wif his spikes... like whiskers,CD60-s.wav,,CD60-v.wav,x,n,,,,,,,Alex_maybe_they_can_feel_vibrations_with_their_spikes_like_whiskers,"start=""sp1:start"" end=""sp1:start+4.8""/><face type='FACS' au='4' amount='.3' stroke='sp1:start+1.4' end='sp1:start+2.3'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+1.4' end='sp1:start+2.3'/><face type='FACS' au='2' amount='.3' stroke='sp1:start+3.7' end='sp1:start+4.4'","start=""sp1:start"" end=""sp1:start+5.7""/><face type='FACS' au='4' amount='.3' stroke='sp1:start+1.5' end='sp1:start+2.6'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+1.5' end='sp1:start+2.6'/><face type='FACS' au='2' amount='.3' stroke='sp1:start+4.3' end='sp1:start+5.2'",,,,,,,,,,
CD61,"Maybe he can like drink from the leaves, like when it rains",Maybe he can like drink from the leaves? Like when it rains,Maybe he kin like drink from the leaves like when it rains,Maybe he kin like drink from de leaves? Like when it rains,CD61-s.wav,,CD61-v.wav,x,n,,,,,,,Alex_Maybe_they_can_drink_from_the_leaves_like_when_it_rains,"start=""sp1:start"" end=""sp1:start+4.1""/><face type='FACS' au='45' amount='0.25' stroke='sp1:start+.6' end='sp1:start+1.6'/><face type='FACS' au='4' amount='0.25' stroke='sp1:start+.6' end='sp1:start+1.6'/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+3.3' end='sp1:start+3.8'","start=""sp1:start"" end=""sp1:start+3.8""/><face type='FACS' au='45' amount='0.25' stroke='sp1:start+.6' end='sp1:start+1.6'/><face type='FACS' au='4' amount='0.25' stroke='sp1:start+.6' end='sp1:start+1.6'/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+3' end='sp1:start+3.5'",,,,,,,,,,
CD62,Maybe he can like go around mostly at night so he  can like camoflauge in the dark,Maybe he can like go around mostly at night so he can like camoflauge in the dark,Maybe he can like go around mostly at night so he kin like camoflauge in the dark,Maybe he can like go aroun' mos'ly at night so he kin like camoflauge in de dark,CD62-s.wav,,CD62-v.wav,x,n,,,,,,,Alex_Maybe_they_can_like_go_around_mostly_at_night_so_they_can_like_camoflauge_in_the_dark,"start=""sp1:start"" end=""sp1:start+7.5""/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+0' end='sp1:start+.5'/><face type='FACS' au='45' amount='0.5' stroke='sp1:start+4.7' end='sp1:start+6.7'/><face type='FACS' au='4' amount='.75' stroke='sp1:start+4.7' end='sp1:start+6.7'","start=""sp1:start"" end=""sp1:start+7.2""/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+0' end='sp1:start+.5'/><face type='FACS' au='45' amount='0.5' stroke='sp1:start+4.5' end='sp1:start+6.6'/><face type='FACS' au='4' amount='.75' stroke='sp1:start+4.5' end='sp1:start+6.6'",,,,,,,,,,
CD63,Maybe he can see in the dark,Maybe he can see in the dark,Maybe he kin see in the dark,Maybe he kin see in de dark,CD63-s.wav,,CD63-v.wav,x,n,,,,,,,CD63v,"start=""sp1:start"" end=""sp1:start+3.2""/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+1.7' end='sp1:start+2.2'/><face type='FACS' au='4' amount='0.3' stroke='sp1:start+1.0' end='sp1:start+1.5'/><face type='FACS' au='45' amount='0.3' stroke='sp1:start+1.0' end='sp1:start+1.5'",/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+1.3' end='sp1:start+1.8'/><face type='FACS' au='4' amount='0.3' stroke='sp1:start+.8' end='sp1:start+1.2'/><face type='FACS' au='45' amount='0.3' stroke='sp1:start+.8' end='sp1:start+1.2',,,,,,,,,,
CD64,Maybe he could fall down out of the trees on his spikes to catch other animals,Maybe he could fall down out of de trees on his spikes to catch other animals,Maybe he could fall down out of the trees on his spikes to catch other animals,Maybe he could fall down out of de trees on his spikes to catch ovher animals,CD64-s.wav,,CD64-v.wav,x,n,,,,,,,Alex_Maybe_they_could_fall_down_out_of_the_trees_on_their_spikes_to_catch_other_animals,"start=""sp1:start"" end=""sp1:start+4.9""","start=""sp1:start"" end=""sp1:start+4.7""",,,,,,,,,,
CD65,Maybe he hibernates in the winter,Maybe he... hibernate in the winter,Maybe he hibernate in the winter,Maybe he... hibernate in de winter,CD65-s.wav,,CD65-v.wav,x,,verbal,,,,,,Alex_maybe_the_creatures_hibernate_in_the_winter,"start=""sp1:start"" end=""sp1:start+3""/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+1.9' end='sp1:start+2.5'/><face type='FACS' au='4' amount='0.3' stroke='sp1:start+.1' end='sp1:start+1.8'/><face type='FACS' au='45' amount='0.3' stroke='sp1:start+.1' end='sp1:start+1.8'","start=""sp1:start"" end=""sp1:start+2.9""/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+1.7' end='sp1:start+2.35'/><face type='FACS' au='4' amount='0.3' stroke='sp1:start+.1' end='sp1:start+1.5'/><face type='FACS' au='45' amount='0.3' stroke='sp1:start+.1' end='sp1:start+1.5'",,,,,,,,,,
CD66,Maybe he hides in the trees?,Maybe he hide in the trees,Maybe he hide in the trees,Maybe he hide in de trees,CD66-s.wav,,CD66-v.wav,x,,verbal,,,,,,Alex_Or_maybe_they_could_hide_in_the_trees,"start=""sp1:start"" end=""sp1:start+2.5""/><face type='FACS' au='45' amount='.2' stroke='sp1:start+0' end='sp1:start+.5'/><face type='FACS' au='2' amount='.3' stroke='sp1:start+1.2' end='sp1:start+1.9'","start=""sp1:start"" end=""sp1:start+2.1""/><face type='FACS' au='45' amount='.2' stroke='sp1:start+0' end='sp1:start+.5'/><face type='FACS' au='2' amount='.3' stroke='sp1:start+1.2' end='sp1:start+1.7'",,,,,,,,,,
CD67,Maybe he only stands up really straight when he's checking for predators like a Meerkat,Maybe he only stand up real straight when he checking for predators... like a Meerkat,Maybe he only stand up real straight when he checking for predators like a Meerkat,Maybe he only stan' up real straight when he checkin' for predators... like a Meerkat,CD67-s.wav,,CD67-v.wav,x,,verbalS; real; copula; plural,check - SHTR here in Pitt?; NG,,,,,Alex_Maybe_they_only_stand_up_when_they_are_checking_for_other_predators_like_a_Meerkat,"start=""sp1:start"" end=""sp1:start+6.5""/><face type='FACS' au='45' amount='0.3' stroke='sp1:start+3.6' end='sp1:start+4.5'/><face type='FACS' au='4' amount='.75' stroke='sp1:start+3.6' end='sp1:start+4.5'","start=""sp1:start"" end=""sp1:start+6""/><face type='FACS' au='45' amount='0.3' stroke='sp1:start+3.6' end='sp1:start+4.5'/><face type='FACS' au='4' amount='.75' stroke='sp1:start+3.6' end='sp1:start+4.5'",,,,,,,,,,
CD68,Maybe he sleeps underground,Maybe he sleep underground,Maybe he sleep underground,Maybe he sleep undergroun',CD68-s.wav,,CD68-v.wav,x,,verbalS,TD,,,,,Alex_Maybe_they_sleep_underground,"start=""sp1:start"" end=""sp1:start+2.2""/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+1' end='sp1:start+1.8'","start=""sp1:start"" end=""sp1:start+1.85""/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+.8' end='sp1:start+1.7'",,,,,,,,,,
CD69,Maybe he's attacked by creatures that are even bigger even spikier,Maybe he attack by creature that even more bigger... even spikier,Maybe he attack by creature that even more bigger even spikier,Maybe he attack by creature dhat even more bigger... even spikier,CD69-s.wav,,CD69-v.wav,x,,copula; copula; doubleComp; doubleComp,maybe he gets attacked �? ,,,,,Alex_Maybe_theyre_attacked_by_creatures_that_are_even_bigger_even_spikier,"start=""sp1:start"" end=""sp1:start+6.8""/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+3.4' end='sp1:start+3.9'/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+4.8' end='sp1:start+5.6'","start=""sp1:start"" end=""sp1:start+5.8""/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+3.4' end='sp1:start+3.9'/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+4.8' end='sp1:start+5.6'",,,,,,,,,,
