ID,English,Chinese,Phonetic Chinese,Recording Number,,Gesture,args,aae_args
CD121,"His teeth aren't really sharp, so he probly eats things he doesn't really need to chew a lot","???????,?????????????????","ta de ya chi bing bu jian, suo yi ta ke neng chi yi shee-ie bu tai shee-uuu yao jiao de dong shee-i",252,,,,
CM1,My hypothesis is that the creature eats lots of plants and worms,???????????,wo cai ta chi hen duo zhi wu he chong zi ,253,,,,
CM2,because the creature doesn't look like he has a lot of ways to protect himself,?????????????????,yin wei ta kan shang chee-u muhi you hen duo bao huzi ji de fang fa,254,,,,
CM3,and so he probably doesn't hunt a lot of other animals that could hurt him,??????????????????????,suo yi ta ke neng bu hui pu lie hen duo chee-i ta ke neng hui shang hai ta de dong wu,255,,,,
CM4,also I don't think he eats the bunnies because he doesn't look like his legs are fast enough to run after them,????????????????????????,er chee-ee-eh wo ye bu jue de ta chi tu zi. yin wei ta kan chee-i lai zhui bu shang ta muhn. ,256,,,,
CM5,so it's probably easier for him to eat food he can just pick up really easily so he doesn't have to fight.,???????????????????????????????????,suo yi ke neng chi rong yi jian chee-i lai de shi wu dui ta lai shuo jian dan yi shee-ie. na yang ta jiu bu shee-uuu yao he bie ren zheng chee-iang,257,,,,
CM6,"Another hypothesis I have is that he um,  camouflages in the dark",????????????????????,wo de ling yi ge cai ce shi taen.cang zai hei an zhong,258,,,,
CM7,"because his fur is dark, so if no one can see him, then he's safer","?????????,???????????????????","yin wei ta de mao shi hei ze de, suo yi ru guo bie ren kan bu dao ta, ta jiu hui geng jia an chee-uan ",259,,,,
CM8,and also I think he uses that stripe he has in his eye to see in the dark,?????????????????????,er chee-ue wo jue de ta de tong kong ye ke yi bang zhu ta zai wan shang kan dao dong shee-i ,260,,,,
CM9,so that means I think he probably mostly goes out at night so that other creatures can't hurt him and he can hide,????????????????????????????????????,"suo yi wo jue de ta ke neng wan shang chu chee-u pu lie. na yang ta ke yi cang chee-i lai, ran hou bie de dong wu jiu shang bu dao ta. ",261,,,,
CM10,And my last hypothesis is that he uses some parts of his body to help him get more food,?????????????????????????,ta zui hou de cai ce shi  enta yong ta shen ti de mo shee-ie bu fen bang zhu ta en cu cun shi wu,262,,,,
CM11,"Um, like using his horns to help him dig for food, like if he ever needs to find more worms","?,????????????????????????????","en shee-iangru guo ta shee-uuu yao zhao dao geng duo de chong zi, ke yi yong jiao lai bang zhu ta wang shi wu.",263,,,,
CM12,"And that's how I think he eats and, um, protects himself.",???????????????.?????????,wo shee-iang ta yong zhe zhong fang fa lai chi dong shee-ienhe bao hu zi ji.,264,,,,
CMall,monologue,??,du bai ,265,,,,
RP21,What kind of food do you think the creature eats and why?,?????????????????,ni jie de ta chi shen muh yang de shi wu? wei shen muh ne? ,266,,,,
RP22,How do you think the creature can um use his antlers to get food?,????????????????????,ni jue de taenke yi yong ta de jiao zhao shi wu ma? ,267,,,,
RP23,Do you think the creature mostly goes out in the day time or at night time?,?????????????????,ni jue de ta zhu yao shi bai tian chu chee-u huo wan shang chu chee-u? ,268,,,,
RP24,Do you um think this is a very dangerous creature?,?????????????????????,nienren wei zhe shi yi zi fei chang wei shee-ian de dong wu ma? ,269,,,,
RP25,"I don't think the creature is very um dangerous because he really doesn't have any claws on his fingers or anything. Um, and his teeth aren't very sharp.",???????????????????????????????????????????,wo bu jue de ta fei chang wei shee-ian. yin wei ta muhi you ren he zhua zi ho ren hei lei si de dong shee-ienta de ya chi ye bu shi hen feng li. ,270,,,,
RP26,"I think that the creature is probably, um, a very good climber because it has long legs like a monkey's legs",????????????????????????????????,wo jue de taenhen hui pa gao er yin wei ta you yi shuang shee-iang hou zi yi yang de chang tui,271,,,,
RP27,I think that it spends a lot of time in the trees because it looks like such a good climber like um hiding in there sometimes or even sleeping there to be safe,"????????????,??????????????????????????????",wo jue de ta hua hen duo shi jian zai ,272,,,,
RP28,"I think it probably mostly eats worms because it doesn't look like it has very sharp teeth or claws really, so it probably needs to eat stuff he can just pick up really easily so he doesn't have to fight","????????????,?????????????????????????????????????????????","  wo jue de ta ke neng zhu yao shi chi chong zi, yin wei ta kan shang qu mei you hen feng li de ya chi huo zhua zi. ta ke neng shee-uu yaochi yong yi jian qi lai de dong xi, suo yi ta bu shee-uuu yao he bie ren zheng chee-ang.",273,,,,
RP29,I don't think the creature can eat the bunnies because I don't think the creature looks fast enough to catch them or sharp enough to really fight them or be um a predator to them,"????????,?????????????????????????????????","wo jue de ta de ta bu chi tu zi, yin wei ta kan shang chee-uu zhui bu shang ta men. er chee-ee-eh  ta de ci ye bu gou jian chee-uuengong gee ta men ",274,,,,
RP30,"I think he has those lines in his eyes because it helps him see better at night, like the same way cats have them to see better in the dark",???????????????????????????????,"wo jue de ta de yang jing de tong kong hen shee, ke yi bang zhu ta xiang mao yi yang zai wan shang kan de geng qing chu",275,,,,
RP31,I think the creature is probably made up of um mostly part monkey and part deer,?????????????????,wo xiangenta ji shee-iang hou zi you shee-iang luu,276,,,,
RP32,I would call them um monkeers because it looks like the creature is mostly part monkey because of his legs and arms and part deer because of his antlers.,???????? ??????????????,"wo hui jiao ta men hou lu, yin wei ta de si zhi shee-iang hou zi er jiao shee-iang lu",277,,,,
RP33,I think the creature can use his antlers to help him get food mostly like by using them to help dig holes so he can find more worms,??????????????????????????,wo jue de ta ke yi yog ta de jiao lai wa dong yi zhao dao geng duo de chong zi huo zhe shi wu,278,,,,
RP34,"I think the creature goes out mostly at night because he looks like he can camouflage with the dark, and his eyes look like they can help him see better at night",???????????????????????????????????????????,wo jue de ta shee huan wan shan chu chee-uu yin wei en ta ke yi yin cang zai hei an zhong. er chee-ee-eh kan shang chee-uu ta de yang jing ke yi rang ta wan shang kan de geng chee-ing chu ,279,,,,
RP45,My goal was um to figure out how this creature like lives in this um habitat,?????????????????????,wo xiang yao enliao jie ta shi zen yang sheng huo zai zhe li de. ,280,,,,
